WebPos;Issuing Bank;CardName;Visa/MC/AmEx;CardType;BIN;;Check;
Garanti;ING;VISAING;Visa;Credit;420322;Visa;True;
Garanti;ING;VISA;Visa;Credit;420323;Visa;True;
Garanti;ING;VISA;Visa;Credit;420324 ;Visa;True;
Garanti;ING;VISA;Visa;Credit;408579 ;Visa;True;
Garanti;ING;VISA;Visa;Credit;480296;Visa;True;
Garanti;ING;VISA;Visa;Credit;400684;Visa;True;
Garanti;ING;MASTER ;Mastercard;Credit;510151;Mastercard;True;
Garanti;ING;MASTER ;Mastercard;Credit;532443 ;Mastercard;True;
Garanti;ING;MASTER ;Mastercard;Credit;542967  ;Mastercard;True;
Garanti;ING;MASTER ;Mastercard;Credit;542965;Mastercard;True;
Garanti;ING;MASTER ;Mastercard;Credit;554570;Mastercard;True;
Garanti;ING;MASTER ;Mastercard;Credit;547765;Mastercard;True;
Garanti;Türkiye Finans;MASTER Türkiye Finans;Mastercard;Credit;549294;Mastercard;True;
Garanti;Türkiye Finans;VISA;Visa;Credit;428462;Visa;True;
Garanti;GS Bonus;Mastercard;Mastercard;Credit;520097;Mastercard;True;
Garanti;GS Bonus;Mastercard;Mastercard;Credit;522204;Mastercard;True;
Garanti;GS Bonus;Mastercard;Mastercard;Credit;528956;Mastercard;True;
Garanti;Denizbank GS Bonus;Mastercard;Mastercard;Credit;520019;Mastercard;True;
Garanti;Denizbank GS Bonus;Mastercard;Mastercard;Credit;512017;Mastercard;True;
Garanti;Denizbank GS Bonus;Mastercard;Mastercard;Credit;512117;Mastercard;True;
Garanti;EBTBONUS    ;VISA       EBTBONUS    ;Visa;Credit;498516      ;Visa;True;
Garanti;EBTBONUS    ;VISA       ;Visa;Credit;498517      ;Visa;True;
Garanti;EBTBONUS    ;VISA       ;Visa;Credit;498518      ;Visa;True;
Garanti;EBTBONUS    ;VISA       ;Visa;Credit;498519      ;Visa;True;
Garanti;EBTBONUS    ;VISA       ;Visa;Credit;498520      ;Visa;True;
Garanti;EBTBONUS    ;Visa Ortak Kart;Visa;Credit;498521;Visa;True;
Garanti;Garanti;AMEX    BNSCMP  ;American Express;Credit;374427;Other;False;
Garanti;Garanti;AMEX    AMEXB   ;American Express;Credit;375631;Other;False;
Garanti;Garanti;VISA    GBKK    ;Visa;Credit;411222;Visa;True;
Garanti;Garanti;VISA    FLEXI   ;Visa;Credit;432154;Visa;True;
Garanti;Garanti;VISA    GBKK    ;Visa;Credit;455566;Visa;True;
Garanti;Garanti;VISA    GBKK    ;Visa;Credit;455567;Visa;True;
Garanti;Garanti;VISA    GBKK    ;Visa;Credit;455568;Visa;True;
Garanti;Garanti;VISA    GBKK    ;Visa;Credit;455569;Visa;True;
Garanti;Garanti;VISA    GBKK    ;Visa;Credit;456507;Visa;True;
Garanti;Garanti;VISA    PARACARD;Visa;Debit;489455;Visa;True;
Garanti;Garanti;MASTER  BONUS   ;Mastercard;Credit;540118;Mastercard;True;
Garanti;Garanti;MASTER  FLEXI   ;Mastercard;Credit;541865;Mastercard;True;
Garanti;Garanti;MASTER  BONUS   ;Mastercard;Credit;543738;Mastercard;True;
Garanti;Garanti;MASTER  GBKK    ;Mastercard;Credit;545117;Mastercard;True;
Garanti;Garanti;MASTER  GBKK    ;Mastercard;Credit;545771;Mastercard;True;
Garanti;Garanti;MASTER  GBKK    ;Mastercard;Credit;545772;Mastercard;True;
Garanti;Garanti;MASTER  GBKK    ;Mastercard;Credit;546001;Mastercard;True;
Garanti;Garanti;MASTER  GBKK    ;Mastercard;Credit;547236;Mastercard;True;
Garanti;Garanti;MASTER  BONUS   ;Mastercard;Credit;548935;Mastercard;True;
Finans;Finans;;;Debit;406386;Visa;False;
Finans;Finans;;;Debit;415956;Visa;False;
Finans;Finans;;;Debit;420092;Visa;False;
Finans;Finans;;;Debit;431379;Visa;False;
Finans;Finans;;;Debit;459333;Visa;False;
Finans;Finans;;;Debit;499853;Visa;False;
Finans;Finans;;;Debit;601050;Other;False;
Finans;Finans;;;Debit;677238;Other;False;
Finans;Finans;;;Credit;402277;Visa;False;
Finans;Finans;;;Credit;402278;Visa;False;
Finans;Finans;;;Credit;402563;Visa;False;
Finans;Finans;;;Credit;403082;Visa;False;
Finans;Finans;;;Credit;409364;Visa;False;
Finans;Finans;;;Credit;410147;Visa;False;
Finans;Finans;;;Credit;413583;Visa;False;
Finans;Finans;;;Credit;414388;Visa;False;
Finans;Finans;;;Credit;415565;Visa;False;
Finans;Finans;;;Credit;422376;Visa;False;
Finans;Finans;;;Credit;423277;Visa;False;
Finans;Finans;;;Credit;423398;Visa;False;
Finans;Finans;;;Credit;427311;Visa;False;
Finans;Finans;;;Credit;435653;Visa;False;
Finans;Finans;;;Credit;441007;Visa;False;
Finans;Finans;;;Credit;442395;Visa;False;
Finans;Finans;;;Credit;444029;Visa;False;
Finans;Finans;;;Credit;459332;Visa;False;
Finans;Finans;;;Credit;499850;Visa;False;
Finans;Finans;;;Credit;499851;Visa;False;
Finans;Finans;;;Credit;499852;Visa;False;
Finans;Finans;;;Credit;519324;Mastercard;False;
Finans;Finans;;;Credit;521022;Mastercard;False;
Finans;Finans;;;Credit;521836;Mastercard;False;
Finans;Finans;;;Credit;529572;Mastercard;False;
Finans;Finans;;;Credit;530818;Mastercard;False;
Finans;Finans;;;Credit;531157;Mastercard;False;
Finans;Finans;;;Credit;542404;Mastercard;False;
Finans;Finans;;;Credit;545120;Mastercard;False;
Finans;Finans;;;Credit;545616;Mastercard;False;
Finans;Finans;;;Credit;545847;Mastercard;False;
Finans;Finans;;;Credit;547567;Mastercard;False;
Finans;Finans;;;Credit;547800;Mastercard;False;
İş Bankası;Maximum;;;Credit;450803;Visa;False;
İş Bankası;Maximum;;;Credit;454360;Visa;False;
İş Bankası;Maximum;;;Credit;454359;Visa;False;
İş Bankası;Maximum;;;Credit;454358;Visa;False;
İş Bankası;Maximum;;;Credit;540667;Mastercard;False;
İş Bankası;Maximum;;;Credit;540668;Mastercard;False;
İş Bankası;Maximum;;;Credit;543771;Mastercard;False;
İş Bankası;Maximum;;;Credit;552096;Mastercard;False;
İş Bankası;Maximum;;;Credit;510152;Mastercard;False;
İş Bankası;Maximum;;;Credit;418342;Visa;False;
İş Bankası;Maximum;;;Credit;418343;Visa;False;
İş Bankası;Maximum;;;Credit;418344;Visa;False;
İş Bankası;Maximum;;;Credit;418345;Visa;False;
İş Bankası;Maximum;;;Debit;414314;Visa;False;
İş Bankası;Maximum;;;Debit;589283;Mastercard;False;
İş Bankası;Maximum;;;Credit;444676;Visa;False;
İş Bankası;Maximum;;;Credit;444677;Visa;False;
İş Bankası;Maximum;;;Credit;444678;Visa;False;
İş Bankası;Maximum;;;Credit;534981;Mastercard;False;
İş Bankası;Maximum;;;Credit;469894;Visa;False;
İş Bankası;Maximum;;;Credit;542374;Mastercard;False;
İş Bankası;Maximum;;;Debit;454314;Visa;False;
İş Bankası;Maximum;;;Debit;589283;Mastercard;False;
Yapı Kredi;Anadolubank;;;Credit;425846;Visa;False;
Yapı Kredi;Anadolubank;;;Credit;425847;Visa;False;
Yapı Kredi;Anadolubank;;;Credit;425848;Visa;False;
Yapı Kredi;Anadolubank;;;Credit;425849;Visa;False;
Yapı Kredi;Anadolubank;;;Credit;441341;Visa;False;
Yapı Kredi;Anadolubank;;;Credit;522240;Mastercard;False;
Yapı Kredi;Anadolubank;;;Credit;522241;Mastercard;False;
Yapı Kredi;Anadolubank;;;Credit;554301;Mastercard;False;
Yapı Kredi;Anadolubank;;;Credit;558593;Mastercard;False;
Yapı Kredi;Anadolubank;;;Debit;676460;Other;False;
Yapı Kredi;Vakıfbank;;;Credit;402940;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;409084;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;411724;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;411942;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;411943;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;411944;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;411979;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;415792;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;416757;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;428945;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;442671;Visa;False;
Yapı Kredi;Vakıfbank;;;Debit;491005;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;493840;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;493841;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;493846;Visa;False;
Yapı Kredi;Vakıfbank;;;Credit;510162;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;510163;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;510238;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;520017;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;540045;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;540046;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;542119;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;542798;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;542804;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;547244;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Credit;552101;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Debit;589311;Mastercard;False;
Yapı Kredi;Vakıfbank;;;Debit;990015;Other;False;
Yapı Kredi;TEB;;;Credit;402458;Visa;False;
Yapı Kredi;TEB;;;Credit;402459;Visa;False;
Yapı Kredi;TEB;;;Credit;406015;Visa;False;
Yapı Kredi;TEB;;;Credit;427707;Visa;False;
Yapı Kredi;TEB;;;Credit;440247;Visa;False;
Yapı Kredi;TEB;;;Credit;440273;Visa;False;
Yapı Kredi;TEB;;;Debit;440274;Visa;False;
Yapı Kredi;TEB;;;Credit;440293;Visa;False;
Yapı Kredi;TEB;;;Credit;440294;Visa;False;
Yapı Kredi;TEB;;;Credit;440295;Visa;False;
Yapı Kredi;TEB;;;Credit;459026;Visa;False;
Yapı Kredi;TEB;;;Credit;479227;Visa;False;
Yapı Kredi;TEB;;;Credit;489494;Visa;False;
Yapı Kredi;TEB;;;Credit;489495;Visa;False;
Yapı Kredi;TEB;;;Credit;489496;Visa;False;
Yapı Kredi;TEB;;;Credit;510138;Mastercard;False;
Yapı Kredi;TEB;;;Credit;510139;Mastercard;False;
Yapı Kredi;TEB;;;Credit;510221;Mastercard;False;
Yapı Kredi;TEB;;;Credit;512753;Mastercard;False;
Yapı Kredi;TEB;;;Credit;512803;Mastercard;False;
Yapı Kredi;TEB;;;Debit;516742;Mastercard;False;
Yapı Kredi;TEB;;;Credit;524346;Mastercard;False;
Yapı Kredi;TEB;;;Credit;524839;Mastercard;False;
Yapı Kredi;TEB;;;Credit;524840;Mastercard;False;
Yapı Kredi;TEB;;;Credit;528920;Mastercard;False;
Yapı Kredi;TEB;;;Credit;530853;Mastercard;False;
Yapı Kredi;TEB;;;Credit;545124;Mastercard;False;
Yapı Kredi;TEB;;;Credit;553090;Mastercard;False;
Yapı Kredi;TEB;;;Debit;676578;Other;False;
Yapı Kredi;Yapı Kredi;;;Debit;401622;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;404809;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;406281;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;408522;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;413382;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;414392;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;420343;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;442106;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;444444;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;446212;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;450634;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;455359;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;455360;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;479794;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;479795;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;490983;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;491205;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;492129;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;492130;Visa;False;
Yapı Kredi;Yapı Kredi;;;Credit;492131;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;494314;Visa;False;
Yapı Kredi;Yapı Kredi;;;Debit;501774;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;510054;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;540061;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;540062;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;540063;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;540122;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;540129;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;542117;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;545103;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;550054;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;552645;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;552659;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Debit;560279;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Debit;561056;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Debit;588691;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Debit;588992;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Debit;589117;Mastercard;False;
Yapı Kredi;Yapı Kredi;;;Credit;601881;Other;False;
Yapı Kredi;Yapı Kredi;;;Credit;602676;Other;False;
Yapı Kredi;Yapı Kredi;;;Credit;602678;Other;False;
Yapı Kredi;Yapı Kredi;;;Credit;602908;Other;False;
Yapı Kredi;Yapı Kredi;;;Credit;602981;Other;False;
Yapı Kredi;Yapı Kredi;;;Credit;603098;Other;False;
Yapı Kredi;Yapı Kredi;;;Debit;603649;Other;False;
Yapı Kredi;Yapı Kredi;;;Debit;603797;Other;False;
Yapı Kredi;Yapı Kredi;;;Debit;636689;Other;False;
Yapı Kredi;Yapı Kredi;;;Debit;639004;Other;False;
Yapı Kredi;Yapı Kredi;;;Debit;676166;Other;False;
